Iter| Action |	Reward	|	Done	|	Acc_rw
462	|	0	 |	-50.0000	|	false	|	 -22001.0000
463	|	0	 |	-50.0000	|	false	|	 -22051.0000
464	|	0	 |	-50.0000	|	false	|	 -22101.0000
465	|	0	 |	-50.0000	|	false	|	 -22151.0000
466	|	0	 |	-50.0000	|	false	|	 -22201.0000
467	|	0	 |	-50.0000	|	false	|	 -22251.0000
468	|	0	 |	-50.0000	|	false	|	 -22301.0000
469	|	0	 |	-50.0000	|	false	|	 -22351.0000
470	|	0	 |	-50.0000	|	false	|	 -22401.0000
471	|	0	 |	-50.0000	|	false	|	 -22451.0000
472	|	0	 |	-50.0000	|	false	|	 -22501.0000
473	|	0	 |	-50.0000	|	false	|	 -22551.0000
474	|	0	 |	-50.0000	|	false	|	 -22601.0000
475	|	0	 |	-50.0000	|	false	|	 -22651.0000
476	|	0	 |	-50.0000	|	false	|	 -22701.0000
477	|	0	 |	-50.0000	|	false	|	 -22751.0000
478	|	0	 |	-50.0000	|	false	|	 -22801.0000
